datetime,arithmetic_mean,aqi,first_max_value,first_max_hour,county_code,state_code,parameter_code,parameter,sample_duration_code,sample_duration,pollutant_standard,units_of_measure
2023-05-18,13.0,12.0,13.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-05-21,8.666666666666666,8.0,8.666666666666666,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-05-24,9.333333333333334,8.666666666666666,9.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-05-27,8.333333333333334,7.666666666666667,8.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-05-30,8.666666666666666,8.0,8.666666666666666,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-06-02,9.333333333333334,8.666666666666666,9.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-06-05,9.0,8.333333333333334,9.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-06-08,9.0,8.333333333333334,9.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-06-14,8.333333333333334,7.666666666666667,8.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-06-17,10.666666666666666,10.0,10.666666666666666,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-06-20,8.666666666666666,8.0,8.666666666666666,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-06-23,10.333333333333334,9.666666666666666,10.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-06-26,12.0,11.0,12.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-06-29,9.333333333333334,8.666666666666666,9.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2012-01-01,48.0,44.0,48.0,0.0,073,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2012-01-04,35.0,29.4,35.0,2.3,073,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2012-01-07,36.775,31.8,36.775,2.3,073,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2012-01-10,34.85,30.7,34.85,2.3,073,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2012-01-16,20.35,17.98333333333333,20.35,2.3,073,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2012-01-22,22.7,20.466666666666665,22.7,2.3,073,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
